id,category,title,description,keywords
rtl,العربية والاتجاه,اتجاه RTL,تطبيق اتجاه الكتابة من اليمين إلى اليسار.,عربي يمين
ltr,العربية والاتجاه,اتجاه LTR,تطبيق اتجاه الكتابة من اليسار إلى اليمين.,انجليزي يسار
auto-direction,العربية والاتجاه,اكتشاف الاتجاه تلقائيًا,اختيار RTL أو LTR حسب النص المحدد.,تلقائي لغة
remove-diacritics,العربية والاتجاه,حذف التشكيل,حذف الحركات والعلامات العربية.,حركات
remove-tatweel,العربية والاتجاه,حذف التطويل,حذف الكشيدة ـ من النص.,كشيدة
normalize-arabic,العربية والاتجاه,توحيد الحروف العربية,توحيد أشكال الألف والياء والهمزات.,الف همزة ياء
normalize-arabic-punctuation,العربية والاتجاه,ترقيم عربي ذكي,تحويل الفاصلة والفاصلة المنقوطة وعلامة السؤال إلى العربية وضبط المسافات.,فاصلة ترقيم
arabic-quotes,العربية والاتجاه,علامات اقتباس عربية,تحويل علامات الاقتباس إلى « ».,اقتباس
remove-zero-width,العربية والاتجاه,حذف المحارف المخفية,حذف محارف zero-width وBOM من النص.,مخفي
digits-eastern,العربية والاتجاه,أرقام عربية,تحويل الأرقام الغربية إلى ٠١٢٣.,ارقام
digits-western,العربية والاتجاه,أرقام غربية,تحويل الأرقام العربية والفارسية إلى 0123.,ارقام
keyboard-ar-to-en,العربية والاتجاه,تصحيح كتابة عربية إلى إنجليزية,إصلاح نص كُتب بلوحة مفاتيح عربية بدل الإنجليزية.,كيبورد لوحة
keyboard-en-to-ar,العربية والاتجاه,تصحيح كتابة إنجليزية إلى عربية,إصلاح نص كُتب بلوحة مفاتيح إنجليزية بدل العربية.,كيبورد لوحة
insert-arabic-date,العربية والاتجاه,إدراج التاريخ بالعربية,إدراج التاريخ الميلادي بأسماء الأشهر العربية.,تاريخ
insert-hijri-date,العربية والاتجاه,إدراج التاريخ الهجري,إدراج تاريخ أم القرى الحالي.,هجري تاريخ
reverse-text,العربية والاتجاه,عكس النص,عكس ترتيب الأحرف في النص المحدد.,عكس
number-arabic-words,العربية والاتجاه,رقم إلى كلمات عربية,تحويل الرقم المحدد إلى كلمات عربية.,تفقيط أرقام
arabic-clean-all,العربية والاتجاه,تنظيف عربي شامل,حذف التشكيل والتطويل وضبط RTL وArial 14.,تنظيف شامل
collapse-spaces,النص والتحرير,تنظيف المسافات,حذف المسافات المتكررة.,مسافة
