referenceNumber,engine,commandId,title,description,sourceDocument,implementation
1,إدارة التبويبات والمستندات الذكية,workspace-save-session,حفظ مساحة العمل,حفظ قائمة المستندات المفتوحة لاستعادتها لاحقًا.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
2,إدارة التبويبات والمستندات الذكية,workspace-export-open-docs,تصدير قائمة المستندات المفتوحة,حفظ أسماء ومسارات المستندات المفتوحة في ملف نصي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
3,إدارة التبويبات والمستندات الذكية,workspace-rename-document,إعادة تسمية المستند,حفظ المستند الحالي باسم جديد في المجلد نفسه.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
4,إدارة التبويبات والمستندات الذكية,workspace-restore-session,استعادة مساحة العمل,فتح المستندات المحفوظة في مساحة العمل.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
5,إدارة التبويبات والمستندات الذكية,workspace-close-others,إغلاق المستندات الأخرى,إبقاء المستند الحالي وإغلاق بقية المستندات.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
6,إدارة التبويبات والمستندات الذكية,workspace-close-unmodified,إغلاق غير المعدّل,إغلاق المستندات المفتوحة التي لا تحتوي تغييرات غير محفوظة.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
7,إدارة التبويبات والمستندات الذكية,workspace-split-toggle,تقسيم وإلغاء تقسيم النافذة,تبديل تقسيم نافذة المستند للمراجعة المتوازية.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
8,إدارة التبويبات والمستندات الذكية,workspace-compare-file,مقارنة مع ملف,اختيار مستند آخر وتشغيل مقارنة Word.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
9,إدارة التبويبات والمستندات الذكية,workspace-duplicate-document,إنشاء نسخة من المستند,إنشاء نسخة مؤرخة من المستند الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
10,إدارة التبويبات والمستندات الذكية,workspace-arrange-windows,ترتيب النوافذ,ترتيب نوافذ Word المفتوحة جنبًا إلى جنب.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
11,إدارة التبويبات والمستندات الذكية,insert-document-path,إدراج مسار المستند,إدراج المسار الكامل للملف الحالي.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
12,إدارة التبويبات والمستندات الذكية,insert-confidential-banner,شريط سري,إدراج شريط تصنيف سري أعلى المستند.,Ultimate_MS_Word_Addin_600_Features_Pro.docx,working-command
